"taper_ratio"	"alphaRange"	"sweep"	"twist"	"AR"	"2y/b"	"cl/CL"
0	10	0	0	7.28	0.6805852854797091	1.1854674241263836
0	10	0	0	7.28	0.7085599111973717	1.2073692214044365
0	10	0	0	7.28	0.7435316834488972	1.236290490209435
0	10	0	0	7.28	0.7627704901699246	1.2541136571935239
0	10	0	0	7.28	0.7820099974137084	1.2722467354450544
0	10	0	0	7.28	0.798628367416318	1.288983006346415
0	10	0	0	7.28	0.8222433960887282	1.3125229177134672
0	10	0	0	7.28	0.8476188791033684	1.3427582913195502
0	10	0	0	7.28	0.8624958200722598	1.3612158964674765
0	10	0	0	7.28	0.876500409712564	1.3798100432301124
0	10	0	0	7.28	0.8887599832673571	1.3985386125261197
0	10	0	0	7.28	0.8966353976977505	1.4080390320964549
0	10	0	0	7.28	0.9080347067908533	1.4322513729223219
0	10	0	0	7.28	0.922062254674573	1.4610022465720478
0	10	0	0	7.28	0.9290801383499375	1.4771958294992351
0	10	0	0	7.28	0.9348098436088267	1.4932081458781596
